node,height,btc_gap,btc_spv_failed,da_gap,da_failed,attestation_failed,active_anchors,clean_peers,churn_rate,avg_tenure,peer_latency,approx_timestamp
engram-node01,3167,2,False,12,False,False,3,3,0,4533,0,1786813579.77714
engram-node01,3168,2,False,13,False,False,3,3,0,4534,0,1786813579.77714
engram-node01,3168,2,False,13,False,False,3,3,0,4534,0,1786813579.77714
engram-node01,3169,3,False,14,False,False,3,3,0,4536,0,1786813582.9048908
engram-node01,3170,3,False,15,False,False,3,3,0,4537,0,1786813582.9048908
engram-node01,3171,3,False,7,False,False,3,3,0,4539,0,1786813585.9688692
engram-node01,3172,3,False,8,False,False,3,3,0,4540,0,1786813585.9688692
engram-node01,3172,3,False,8,False,False,3,3,0,4540,0,1786813585.9688692
engram-node01,3173,3,False,9,False,False,3,3,0,4542,0,1786813588.998657
engram-node01,3174,3,False,10,False,False,3,3,0,4543,0,1786813588.998657
engram-node01,3175,3,False,11,False,False,3,3,0,4544,0,1786813588.998657
engram-node01,3176,3,False,12,False,False,3,3,0,4546,0,1786813592.0208452
engram-node01,3176,3,False,12,False,False,3,3,0,4546,0,1786813592.0208452
engram-node01,3177,3,False,13,False,False,3,3,0,4547,0,1786813592.0208452
engram-node01,3178,3,False,14,False,False,3,3,0,4548,0,1786813596.445282
engram-node01,3179,3,False,8,False,False,3,3,0,4549,0,1786813596.445282
engram-node01,3180,3,False,9,False,False,3,3,0,4551,0,1786813596.445282
engram-node01,3180,3,False,9,False,False,3,3,0,4551,0,1786813596.445282
engram-node01,3181,3,False,10,False,False,3,3,0,4552,0,1786813599.489869
engram-node01,3182,4,False,3,False,False,3,3,0,4572,159,1786813688.025221
engram-node01,3182,5,False,0,False,False,3,3,0,4589,159,1786813688.025221
engram-node01,3182,6,False,0,False,False,3,3,0,4608,159,1786813688.025221
engram-node01,3182,6,False,0,False,False,3,3,0,4611,159,1786813688.025221
engram-node01,3182,7,False,0,True,True,3,3,0,4624,139,1786813688.025221
engram-node01,3182,8,False,0,True,True,3,3,0,4639,139,1786813688.025221
engram-node01,3183,8,False,1,True,True,3,3,0,4647,139,1786813718.535139
engram-node01,3183,8,False,1,True,True,3,3,0,4649,139,1786813718.535139
engram-node01,3183,8,False,1,True,True,3,3,0,4670,139,1786813718.535139
engram-node01,3184,8,False,2,True,True,3,3,0,4673,171,1786813718.535139
engram-node01,3184,8,False,2,True,True,3,3,0,4675,171,1786813718.535139
engram-node01,3184,9,False,2,True,True,3,3,0,4677,171,1786813718.535139
engram-node01,3185,6,False,3,True,True,3,3,0,4678,171,1786813718.535139
engram-node01,3186,6,False,4,True,True,3,3,0,4680,171,1786813718.535139
engram-node01,3187,6,False,5,True,True,3,3,0,4681,171,1786813718.535139
engram-node01,3188,5,False,6,True,True,3,3,0,4683,171,1786813737.397792
engram-node01,3188,5,False,6,True,True,3,3,0,4683,171,1786813737.397792
engram-node01,3189,5,False,7,True,True,3,3,0,4685,171,1786813737.397792
engram-node01,3190,5,False,8,True,True,3,3,0,4686,171,1786813737.397792
engram-node01,3191,5,False,9,True,True,3,3,0,4689,171,1786813737.397792
engram-node01,3192,5,False,10,True,True,3,3,0,4690,171,1786813737.397792
engram-node01,3192,5,False,10,True,True,3,3,0,4690,171,1786813737.397792
engram-node01,3193,5,False,11,True,True,3,3,0,4692,171,1786813737.397792
engram-node01,3194,5,False,12,True,True,3,3,0,4693,171,1786813739.5100002
engram-node01,3195,5,False,13,True,True,3,3,0,4695,537,1786813741.5351229
engram-node01,3196,5,False,14,True,True,3,3,0,4696,537,1786813741.5351229
engram-node01,3196,5,False,14,True,True,3,3,0,4696,537,1786813741.5351229
engram-node01,3197,5,False,15,True,True,3,3,0,4697,537,1786813743.5937438
engram-node01,3198,5,False,16,True,True,3,3,0,4698,537,1786813745.632423
engram-node01,3199,5,False,17,True,True,3,3,0,4700,537,1786813745.632423
engram-node01,3200,5,False,18,True,True,3,3,0,4701,537,1786813747.948261
engram-node01,3200,5,False,18,True,True,3,3,0,4701,537,1786813747.948261
engram-node01,3201,6,False,19,True,True,3,3,0,4703,537,1786813747.948261
engram-node01,3202,6,False,20,True,True,3,3,0,4704,537,1786813749.9838378
engram-node01,3203,6,False,21,True,True,3,3,0,4705,537,1786813752.001667
engram-node01,3204,6,False,22,True,True,3,3,0,4706,537,1786813752.001667
engram-node01,3204,6,False,22,True,True,3,3,0,4706,537,1786813752.001667
engram-node01,3205,6,False,23,True,True,3,3,0,4708,537,1786813754.022437
engram-node01,3206,6,False,24,True,True,3,3,0,4709,537,1786813756.048736
engram-node01,3207,6,False,25,True,True,3,3,0,4710,537,1786813756.048736
engram-node01,3208,6,False,26,True,True,3,3,0,4712,537,1786813756.048736
engram-node01,3208,6,False,26,True,True,3,3,0,4712,537,1786813756.048736
engram-node01,3209,6,False,27,True,True,3,3,0,4713,537,1786813761.204949
engram-node01,3210,6,False,28,True,True,3,3,0,4714,537,1786813761.204949
engram-node01,3211,6,False,29,True,True,3,3,0,4716,537,1786813761.204949
engram-node01,3212,6,False,30,True,True,3,3,0,4717,537,1786813763.465586
engram-node01,3212,6,False,30,True,True,3,3,0,4717,537,1786813763.465586
engram-node01,3213,6,False,31,True,True,3,3,0,4719,537,1786813765.508332
engram-node01,3214,6,False,32,True,True,3,3,0,4720,537,1786813765.508332
engram-node01,3215,6,False,33,True,True,3,3,0,4721,537,1786813767.534546
engram-node01,3216,6,False,34,True,True,3,3,0,4722,537,1786813769.557371
engram-node01,3216,6,False,34,True,True,3,3,0,4722,537,1786813769.557371
engram-node01,3217,7,False,35,True,True,3,3,0,4725,537,1786813769.557371
engram-node01,3218,2,False,36,True,True,3,3,0,4726,537,1786813769.557371
engram-node01,3219,2,False,37,True,True,3,3,0,4728,537,1786813775.47138
engram-node01,3220,2,False,38,True,True,3,3,0,4729,537,1786813775.47138
engram-node01,3220,2,False,38,True,True,3,3,0,4729,537,1786813775.47138
engram-node01,3221,2,False,39,True,True,3,3,0,4731,537,1786813775.47138
engram-node01,3222,2,False,40,True,True,3,3,0,4732,537,1786813777.9193358
engram-node01,3223,2,False,41,True,True,3,3,0,4734,537,1786813779.94261
engram-node01,3224,2,False,42,True,True,3,3,0,4735,537,1786813779.94261
